"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"11:11:43,9585706","cm.exe","11828","TCP Connect","kubernetes.docker.internal:58877 -> kubernetes.docker.internal:8087","SUCCESS","Length: 0, mss: 65495, sackopt: 1, tsopt: 0, wsopt: 1, rcvwin: 327475, rcvwinscale: 8, sndwinscale: 8, seqnum: 0, connid: 0"
"11:11:43,9587552","cm.exe","11828","TCP Send","kubernetes.docker.internal:58877 -> kubernetes.docker.internal:8087","SUCCESS","Length: 6, startime: 27041758, endtime: 27041758, seqnum: 0, connid: 0"
"11:11:43,9590349","cm.exe","11828","TCP Receive","kubernetes.docker.internal:58877 -> kubernetes.docker.internal:8087","SUCCESS","Length: 1, seqnum: 0, connid: 0"
"11:11:43,9590790","cm.exe","11828","TCP Send","kubernetes.docker.internal:58877 -> kubernetes.docker.internal:8087","SUCCESS","Length: 109, startime: 27041758, endtime: 27041758, seqnum: 0, connid: 0"
"11:11:43,9595921","cm.exe","11828","TCP Receive","kubernetes.docker.internal:58877 -> kubernetes.docker.internal:8087","SUCCESS","Length: 9, seqnum: 0, connid: 0"
"11:11:43,9616077","cm.exe","11828","TCP Send","kubernetes.docker.internal:58877 -> kubernetes.docker.internal:8087","SUCCESS","Length: 24, startime: 27041758, endtime: 27041758, seqnum: 0, connid: 0"
"11:11:43,9621785","cm.exe","11828","TCP Receive","kubernetes.docker.internal:58877 -> kubernetes.docker.internal:8087","SUCCESS","Length: 97, seqnum: 0, connid: 0"
"11:11:43,9622618","cm.exe","11828","TCP Send","kubernetes.docker.internal:58877 -> kubernetes.docker.internal:8087","SUCCESS","Length: 18, startime: 27041758, endtime: 27041758, seqnum: 0, connid: 0"
"11:11:43,9626985","cm.exe","11828","TCP Receive","kubernetes.docker.internal:58877 -> kubernetes.docker.internal:8087","SUCCESS","Length: 124, seqnum: 0, connid: 0"
"11:11:43,9627950","cm.exe","11828","TCP Send","kubernetes.docker.internal:58877 -> kubernetes.docker.internal:8087","SUCCESS","Length: 36, startime: 27041758, endtime: 27041758, seqnum: 0, connid: 0"
"11:11:43,9636354","cm.exe","11828","TCP Receive","kubernetes.docker.internal:58877 -> kubernetes.docker.internal:8087","SUCCESS","Length: 226, seqnum: 0, connid: 0"
"11:11:43,9640486","cm.exe","11828","TCP Send","kubernetes.docker.internal:58877 -> kubernetes.docker.internal:8087","SUCCESS","Length: 10, startime: 27041758, endtime: 27041758, seqnum: 0, connid: 0"
"11:11:43,9648203","cm.exe","11828","TCP Receive","kubernetes.docker.internal:58877 -> kubernetes.docker.internal:8087","SUCCESS","Length: 116, seqnum: 0, connid: 0"
"11:11:44,0610816","cm.exe","11828","TCP Connect","DESKTOP-UBT76DF:58878 -> lb-140-82-121-4-fra.github.com:https","SUCCESS","Length: 0, mss: 1360, sackopt: 1, tsopt: 0, wsopt: 1, rcvwin: 262480, rcvwinscale: 8, sndwinscale: 10, seqnum: 0, connid: 0"
"11:11:44,1155751","cm.exe","11828","TCP Send","DESKTOP-UBT76DF:58878 -> lb-140-82-121-4-fra.github.com:https","SUCCESS","Length: 170, startime: 27041768, endtime: 27041773, seqnum: 0, connid: 0"
"11:11:44,1155829","cm.exe","11828","TCP TCPCopy","DESKTOP-UBT76DF:58878 -> lb-140-82-121-4-fra.github.com:https","SUCCESS","Length: 1360, seqnum: 0, connid: 0"
"11:11:44,1162111","cm.exe","11828","TCP TCPCopy","DESKTOP-UBT76DF:58878 -> lb-140-82-121-4-fra.github.com:https","SUCCESS","Length: 1202, seqnum: 0, connid: 0"
"11:11:44,1162223","cm.exe","11828","TCP Receive","DESKTOP-UBT76DF:58878 -> lb-140-82-121-4-fra.github.com:https","SUCCESS","Length: 2562, seqnum: 0, connid: 0"
"11:11:44,1771611","cm.exe","11828","TCP Send","DESKTOP-UBT76DF:58878 -> lb-140-82-121-4-fra.github.com:https","SUCCESS","Length: 93, startime: 27041774, endtime: 27041779, seqnum: 0, connid: 0"
"11:11:44,1771716","cm.exe","11828","TCP TCPCopy","DESKTOP-UBT76DF:58878 -> lb-140-82-121-4-fra.github.com:https","SUCCESS","Length: 51, seqnum: 0, connid: 0"
"11:11:44,1771913","cm.exe","11828","TCP Receive","DESKTOP-UBT76DF:58878 -> lb-140-82-121-4-fra.github.com:https","SUCCESS","Length: 51, seqnum: 0, connid: 0"
"11:11:44,2742893","cm.exe","11828","TCP Send","DESKTOP-UBT76DF:58878 -> lb-140-82-121-4-fra.github.com:https","SUCCESS","Length: 186, startime: 27041779, endtime: 27041789, seqnum: 0, connid: 0"
"11:11:44,3646084","cm.exe","11828","TCP TCPCopy","DESKTOP-UBT76DF:58878 -> lb-140-82-121-4-fra.github.com:https","SUCCESS","Length: 467, seqnum: 0, connid: 0"
"11:11:44,3646233","cm.exe","11828","TCP Receive","DESKTOP-UBT76DF:58878 -> lb-140-82-121-4-fra.github.com:https","SUCCESS","Length: 467, seqnum: 0, connid: 0"
"11:11:44,3685465","cm.exe","11828","TCP TCPCopy","DESKTOP-UBT76DF:58878 -> lb-140-82-121-4-fra.github.com:https","SUCCESS","Length: 450, seqnum: 0, connid: 0"
"11:11:44,3685574","cm.exe","11828","TCP Receive","DESKTOP-UBT76DF:58878 -> lb-140-82-121-4-fra.github.com:https","SUCCESS","Length: 450, seqnum: 0, connid: 0"
"11:11:44,3689031","cm.exe","11828","TCP Send","kubernetes.docker.internal:58877 -> kubernetes.docker.internal:8087","SUCCESS","Length: 17, startime: 27041799, endtime: 27041799, seqnum: 0, connid: 0"
"11:11:44,3697285","cm.exe","11828","TCP Receive","kubernetes.docker.internal:58877 -> kubernetes.docker.internal:8087","SUCCESS","Length: 128, seqnum: 0, connid: 0"
"11:11:44,3705343","cm.exe","11828","TCP Send","kubernetes.docker.internal:58877 -> kubernetes.docker.internal:8087","SUCCESS","Length: 17, startime: 27041799, endtime: 27041799, seqnum: 0, connid: 0"
"11:11:44,3711945","cm.exe","11828","TCP Receive","kubernetes.docker.internal:58877 -> kubernetes.docker.internal:8087","SUCCESS","Length: 6, seqnum: 0, connid: 0"
"11:11:44,4208584","cm.exe","11828","TCP Disconnect","DESKTOP-UBT76DF:58878 -> lb-140-82-121-4-fra.github.com:https","SUCCESS","Length: 0, seqnum: 0, connid: 0"
"11:12:16,7032925","cm.exe","11828","TCP Disconnect","kubernetes.docker.internal:58877 -> kubernetes.docker.internal:8087","SUCCESS","Length: 0, seqnum: 0, connid: 0"
